row.names;local;Casos;Muertes;Casos(En Miles)
0;Santa Fe;13419;372;13,419
1;Puente Aranda;29484;792;29,484
2;Ciudad Bol–var;43030;1146;43,03
3;Barrios Unidos;15346;436;15,346
4;Suba;105710;2249;105,71
5;Antonio Nariùo;9843;336;9,843
6;La Candelaria;3869;83;3,869
7;Engativ?;77476;1995;77,476
8;FontibÆn;36465;802;36,465
9;San CristÆbal;33170;996;33,17
10;Teusaquillo;17448;448;17,448
11;Usaqu?n;54562;1127;54,562
12;Chapinero;19604;414;19,604
13;Usme;24882;637;24,882
14;Sumapaz;20;0;0,02
15;Rafael Uribe Uribe;32783;1032;32,783
16;Tunjuelito;16945;514;16,945
17;Los M?rtires;9920;317;9,92
18;Kennedy;92235;2198;92,235
19;Bosa;51680;1166;51,68
